record_label,identifier_major_type,common_measure,shared_pattern_code
CROSSA-000,MAJ-000,100.5,AA-0000
CROSSA-001,MAJ-001,101.5,AA-0001
CROSSA-002,MAJ-002,102.5,AA-0002
CROSSA-003,MAJ-003,103.5,AA-0003
CROSSA-004,MAJ-004,104.5,AA-0004
CROSSA-005,MAJ-005,105.5,AA-0005
CROSSA-006,MAJ-006,106.5,AA-0006
CROSSA-007,MAJ-007,107.5,AA-0007
CROSSA-008,MAJ-008,108.5,AA-0008
CROSSA-009,MAJ-009,109.5,AA-0009
CROSSA-010,MAJ-010,110.5,AA-0010
CROSSA-011,MAJ-011,111.5,AA-0011
CROSSA-012,MAJ-012,112.5,AA-0012
CROSSA-013,MAJ-013,113.5,AA-0013
CROSSA-014,MAJ-014,114.5,AA-0014
CROSSA-015,MAJ-015,115.5,AA-0015
CROSSA-016,MAJ-016,116.5,AA-0016
CROSSA-017,MAJ-017,117.5,AA-0017
CROSSA-018,MAJ-018,118.5,AA-0018
CROSSA-019,MAJ-019,119.5,AA-0019
CROSSA-020,MAJ-020,120.5,AA-0020
CROSSA-021,MAJ-021,121.5,AA-0021
CROSSA-022,MAJ-022,122.5,AA-0022
CROSSA-023,MAJ-023,123.5,AA-0023
CROSSA-024,MAJ-024,124.5,AA-0024
CROSSA-025,MAJ-025,125.5,AA-0025
CROSSA-026,MAJ-026,126.5,AA-0026
CROSSA-027,MAJ-027,127.5,AA-0027
CROSSA-028,MAJ-028,128.5,AA-0028
CROSSA-029,MAJ-029,129.5,AA-0029
CROSSA-030,MAJ-030,130.5,AA-0030
CROSSA-031,MAJ-031,131.5,AA-0031
CROSSA-032,MAJ-032,132.5,AA-0032
CROSSA-033,MAJ-033,133.5,AA-0033
CROSSA-034,MAJ-034,134.5,AA-0034
CROSSA-035,MAJ-035,135.5,AA-0035
CROSSA-036,MAJ-036,136.5,AA-0036
CROSSA-037,MAJ-037,137.5,AA-0037
CROSSA-038,MAJ-038,138.5,AA-0038
CROSSA-039,MAJ-039,139.5,AA-0039
