record_label,primary_event_date,secondary_event_date
STALE-000,2024-10-30,2024-09-30
STALE-001,2024-10-29,2024-09-28
STALE-002,2024-10-28,2024-09-26
STALE-003,2024-10-27,2024-09-24
STALE-004,2024-10-26,2024-09-22
STALE-005,2024-10-25,2024-09-25
STALE-006,2024-10-24,2024-09-23
STALE-007,2024-10-23,2024-09-21
STALE-008,2024-10-22,2024-09-19
STALE-009,2024-10-21,2024-09-17
STALE-010,2024-10-20,2024-09-20
STALE-011,2024-10-19,2024-09-18
STALE-012,2024-10-18,2024-09-16
STALE-013,2024-10-17,2024-09-14
STALE-014,2024-10-16,2024-09-12
STALE-015,2024-10-15,2024-09-15
STALE-016,2024-10-14,2024-09-13
STALE-017,2024-10-13,2024-09-11
STALE-018,2024-10-12,2024-09-09
STALE-019,2024-10-11,2024-09-07
STALE-020,2024-10-10,2024-09-10
STALE-021,2024-10-09,2024-09-08
STALE-022,2024-10-08,2024-09-06
STALE-023,2024-10-07,2024-09-04
STALE-024,2024-10-06,2024-09-02
STALE-025,2024-10-05,2024-09-05
STALE-026,2024-10-04,2024-09-03
STALE-027,2024-10-03,2024-09-01
STALE-028,2024-10-02,2024-08-30
STALE-029,2024-10-01,2024-08-28
